Country,Continent,Year,PM2.5,LifeExpectancy,GDP_per_capita,Population,CO2_Emissions,Urban_Population_%,Health_Expenditure_%GDP,Income_Group
India,North America,2000,22.96126130734804,76.25626959285749,3502.7786180518033,435285667,1.968163649981151,65.5621931064197,2.7333505273523033,Low income
India,North America,2001,21.75743333392264,74.35727255772568,5757.693607461337,505579232,2.742754246334941,56.73295021425665,7.615285242347505,Low income
India,North America,2002,24.67418254338056,69.615156733078,3904.6437017719986,1000745294,4.046997637950986,74.96231729751095,4.5957591680586765,Low income
India,North America,2003,33.389397293812884,69.09376739685275,3496.536403978782,733395540,5.4299444908347905,20.928547281190657,14.248622823903085,Low income
India,North America,2004,10.45835905997346,82.00966769313693,8191.374544171314,1036196507,1.6737361581665406,28.542676439134517,8.437299831446513,Low income
India,North America,2005,24.70468169913987,70.20597185048801,4035.686885267168,201619113,4.741448059779555,22.1919304718891,12.94970206973498,Low income
India,North America,2006,9.700285904505378,78.06206423127763,6229.49810928105,381072391,1.8683817062839496,56.458398201807654,14.495236316541538,Low income
India,North America,2007,22.95792338592404,74.83941950389595,4090.82070964337,1207604539,4.631957607051938,39.31994274157803,5.851555574153071,Low income
India,North America,2008,11.213573277591337,76.65964908343173,5923.3169095434405,855021618,2.542277819389274,71.03050176286911,12.026514506917295,Low income
India,North America,2009,19.55612768810105,73.97498136597956,5802.301322542331,530561415,3.1751850776425026,26.678708154328792,6.820637278577463,Low income
India,North America,2010,26.652818849289552,74.14058418444134,3259.3708668284808,264038498,4.479105657032543,28.37159721568112,11.272182233898935,Low income
India,North America,2011,22.39893516616599,76.87660554984895,3788.0548572340576,98636744,5.0994697560763305,27.76235745682819,7.711374524255011,Low income
India,North America,2012,21.344402529176893,74.10095623271876,4351.25813178269,840735171,5.910086161824909,37.450456040421244,7.334977999463186,Low income
India,North America,2013,16.64566549513432,78.16458981997529,5494.418006548374,693440149,4.496276556624655,63.70478336936553,5.843237915890282,Low income
India,North America,2014,20.065671468618024,73.05647137625557,4696.853424478657,169973642,2.6303337319243614,28.546156829047135,6.631871895000674,Low income
India,North America,2015,19.301033145942224,76.27139465786948,3562.3829755654133,1310025538,0.9985974827514684,55.7523111804296,7.4263430409341264,Low income
India,North America,2016,18.614374880722455,75.11453884669888,5696.523570702501,1389146037,1.9487585424415754,59.06714014121388,7.249870223754531,Low income
India,North America,2017,20.514540438565028,74.68797688954716,5043.741144460704,912695234,2.568822085384056,39.93883460642273,2.479530315608926,Low income
India,North America,2018,20.893108188329055,79.47993013080605,4576.943938513412,578034624,2.2959535342928805,30.142641046385616,8.36288588360832,Low income
India,North America,2019,26.306071211199026,73.35083045977403,4206.210271135593,569249203,7.78280335434014,47.917710971118716,12.613614351851991,Low income
India,North America,2020,18.37794541409571,76.56748052243385,5002.075317359714,391382227,2.4165110124644444,35.416873329588384,11.244943921694231,Low income
India,North America,2021,17.911156637728812,78.23747939412536,6447.436093537344,77241446,5.09003722076684,29.626466090219527,6.433862563653361,Low income
India,North America,2022,18.80823200978295,76.70812759217645,4876.592395985951,238085688,3.3696635273907063,38.25804223812863,14.951298096853016,Low income
India,North America,2023,20.906080137289834,75.55015266204742,3432.9597900188833,1198743336,2.870454844754787,70.81689752091675,13.662433379383502,Low income
China,Oceania,2000,83.72569994993039,45.34252495596023,1554.9119278520222,703234722,20.0,39.8744682316226,5.969730184477115,High income
China,Oceania,2001,66.0631739273197,50.36205770631486,1645.023572300088,78633091,7.221515629215733,42.77797887114874,11.704388266534314,High income
China,Oceania,2002,85.27733904090319,45.0,1614.2837609524763,403330059,15.111444586885936,64.54328327301268,5.256003641872594,High income
China,Oceania,2003,82.03991293044317,45.0,1829.7090358346854,1267204897,11.282096168047001,65.15723534213953,10.696012775620295,High income
China,Oceania,2004,78.59486244642977,46.70976290507475,1723.4879395130092,1154430719,16.61244469977276,32.39774755849343,14.225961596587887,High income
China,Oceania,2005,79.83979645027328,46.56078341075884,1823.9357799839652,324609715,9.869174724474716,46.956841002134766,13.06477672971914,High income
China,Oceania,2006,75.83022529862419,46.05895671541666,1935.0455680937198,842941561,20.0,24.929129159468072,4.715943328999682,High income
China,Oceania,2007,74.72185853055657,50.41827639101489,1676.931296830661,1386344985,17.57399489145423,68.79110186966875,11.13229309183242,High income
China,Oceania,2008,73.57211155489613,46.33829414272169,1873.1924202795094,479947735,20.0,55.793967920265644,8.519711830933595,High income
China,Oceania,2009,83.31491094814741,45.61367580628749,1733.9013879097874,119613134,11.988660610617172,26.57873578886083,9.517641832950261,High income
China,Oceania,2010,80.26227768448348,45.0,1561.7041509665496,391125881,20.0,37.51759523611048,2.5048515475825015,High income
China,Oceania,2011,82.2325563202799,45.0,1812.6562238569088,1167267963,8.548506515697703,63.60233330733002,3.109517044918984,High income
China,Oceania,2012,80.68831759420065,45.0,1718.8593825606026,972054899,6.712167076989287,87.86758069799113,11.289736354339377,High income
China,Oceania,2013,79.92448601887595,45.0,1793.9603695625904,1078437785,4.502760585363009,87.38538902745475,12.867741566658676,High income
China,Oceania,2014,76.60136300589781,50.021921958267406,1589.6460220907695,1075785057,8.42207778605535,26.571130305690424,4.377257962394996,High income
China,Oceania,2015,81.37973596672937,45.46592628683298,1721.2392318881223,480836949,18.92158850511956,23.340128938415415,9.358483736422992,High income
